L,width,height,N,t,u_ib,E_p,E_p_err,E_fit,E_fit_err,factor,factor_err
4,4,4,16,0.055,0.5,0.46973720334304486,1.0690325609867684e-5,0.47909102150642524,0.0007625725986402223,-0.040404345749802,3.8906202043280005e-5
5,5,5,25,0.055,0.5,0.4713583260165426,2.1854853898610374e-5,0.47909102150642524,0.0007625725986402223,-0.040404345749802,3.8906202043280005e-5
6,6,6,36,0.055,0.5,0.47290697103321144,3.906997771791787e-5,0.47909102150642524,0.0007625725986402223,-0.040404345749802,3.8906202043280005e-5
7,7,7,49,0.055,0.5,0.4743649004424191,5.322241054531636e-5,0.47909102150642524,0.0007625725986402223,-0.040404345749802,3.8906202043280005e-5
8,8,8,64,0.055,0.5,0.4753145992470047,7.13102668813188e-5,0.47909102150642524,0.0007625725986402223,-0.040404345749802,3.8906202043280005e-5
9,9,9,81,0.055,0.5,0.4761724692051936,0.00010653855202021642,0.47909102150642524,0.0007625725986402223,-0.040404345749802,3.8906202043280005e-5
10,10,10,100,0.055,0.5,0.47662374294945264,0.00015077085477186003,0.47909102150642524,0.0007625725986402223,-0.040404345749802,3.8906202043280005e-5
4,4,4,16,0.06,-1.5,-2.1979615233054934,3.025625609328576e-5,-2.3181640040072895,0.001555464985077235,0.4735986181069534,0.00010162596517996982
5,5,5,25,0.06,-1.5,-2.2224989602692378,4.6677235321403335e-5,-2.3181640040072895,0.001555464985077235,0.4735986181069534,0.00010162596517996982
6,6,6,36,0.06,-1.5,-2.2380850864302486,6.566660183338119e-5,-2.3181640040072895,0.001555464985077235,0.4735986181069534,0.00010162596517996982
7,7,7,49,0.06,-1.5,-2.248883486083408,9.80599304719145e-5,-2.3181640040072895,0.001555464985077235,0.4735986181069534,0.00010162596517996982
8,8,8,64,0.06,-1.5,-2.256321365756982,0.000123951109476658,-2.3181640040072895,0.001555464985077235,0.4735986181069534,0.00010162596517996982
9,9,9,81,0.06,-1.5,-2.2620068087798435,0.0001637630283790399,-2.3181640040072895,0.001555464985077235,0.4735986181069534,0.00010162596517996982
10,10,10,100,0.06,-1.5,-2.2671582758815667,0.00025646307838453325,-2.3181640040072895,0.001555464985077235,0.4735986181069534,0.00010162596517996982
