width,height,filling_factor,t,u_ib,qmc,E_imp,E_imp_err,E_no_imp,E_no_imp_err,E_p,E_p_err
6,6,1.0,0.06,-2.0,true,-4.94959975608492,0.0001248080706807754,-1.4578800056362833,2.6535473510282063e-5,-3.491719750448637,0.00012759775022104546
6,6,1.0,0.06,-1.8,true,-4.406894504142726,8.793289718914494e-5,-1.4578800056362833,2.6535473510282063e-5,-2.949014498506443,9.184947339256559e-5
6,6,1.0,0.06,-1.6,true,-3.9197592137105466,7.077329269160729e-5,-1.4578800056362833,2.6535473510282063e-5,-2.4618792080742633,7.558432584092283e-5
6,6,1.0,0.06,-1.4,true,-3.4825478608663727,6.071702706254306e-5,-1.4578800056362833,2.6535473510282063e-5,-2.0246678552300894,6.626227229523952e-5
6,6,1.0,0.06,-1.2,true,-3.0803620266918994,4.7555980798768124e-5,-1.4578800056362833,2.6535473510282063e-5,-1.6224820210556161,5.445826534280801e-5
6,6,1.0,0.06,-1.0,true,-2.710002653184244,4.035087678181853e-5,-1.4578800056362833,2.6535473510282063e-5,-1.2521226475479605,4.829414676207027e-5
6,6,1.0,0.06,-0.8,true,-2.3839385349987317,3.8134523523690434e-5,-1.4578800056362833,2.6535473510282063e-5,-0.9260585293624484,4.645829569402842e-5
6,6,1.0,0.06,-0.6,true,-2.111941148735884,3.337651206299995e-5,-1.4578800056362833,2.6535473510282063e-5,-0.6540611430996006,4.263945252822159e-5
6,6,1.0,0.06,-0.4,true,-1.8776515193050476,3.284301925560155e-5,-1.4578800056362833,2.6535473510282063e-5,-0.4197715136687643,4.222316032983196e-5
6,6,1.0,0.06,-0.2,true,-1.6623234253892278,3.07786393196243e-5,-1.4578800056362833,2.6535473510282063e-5,-0.20444341975294456,4.0638110103478045e-5
6,6,1.0,0.06,0.0,true,-1.4578800056362833,2.6535473510282063e-5,-1.4578800056362833,2.6535473510282063e-5,0.0,3.752682652223289e-5
6,6,1.0,0.06,0.2,true,-1.2626220299660542,3.227957101712554e-5,-1.4578800056362833,2.6535473510282063e-5,0.19525797567022907,4.1786386054126915e-5
6,6,1.0,0.06,0.4,true,-1.080594773364523,3.129782395626265e-5,-1.4578800056362833,2.6535473510282063e-5,0.37728523227176036,4.1032732529190514e-5
6,6,1.0,0.06,0.6,true,-0.927111409094185,3.352525960789464e-5,-1.4578800056362833,2.6535473510282063e-5,0.5307685965420983,4.275598655383376e-5
6,6,1.0,0.06,0.8,true,-0.8304439702260173,3.566560806510088e-5,-1.4578800056362833,2.6535473510282063e-5,0.6274360354102659,4.445409939553686e-5
6,6,1.0,0.06,1.0,true,-0.7842489356819732,3.710130019558948e-5,-1.4578800056362833,2.6535473510282063e-5,0.6736310699543101,4.561400914870484e-5
6,6,1.0,0.06,1.2,true,-0.7605357590486664,3.8822342431369585e-5,-1.4578800056362833,2.6535473510282063e-5,0.6973442465876168,4.702452154220604e-5
6,6,1.0,0.06,1.4,true,-0.746211467657371,3.7862318887730706e-5,-1.4578800056362833,2.6535473510282063e-5,0.7116685379789123,4.623512242842113e-5
6,6,1.0,0.06,1.6,true,-0.7365323267738364,3.812878429777106e-5,-1.4578800056362833,2.6535473510282063e-5,0.7213476788624469,4.6453584861029125e-5
6,6,1.0,0.06,1.8,true,-0.7296005263901166,3.439548243941252e-5,-1.4578800056362833,2.6535473510282063e-5,0.7282794792461666,4.3441691572207636e-5
6,6,1.0,0.06,2.0,true,-0.7243427947716128,3.901790083512272e-5,-1.4578800056362833,2.6535473510282063e-5,0.7335372108646705,4.71860990122552e-5
