# dJUs, omega0s, omega1s, omega2s
0.000000000000000000e+00,2.000000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,2.000000000000000111e-01,0.000000000000000000e+00,-9.943465663055172574e-07
1.000000000000000021e-02,2.000000000000000111e-01,0.000000000000000000e+00,-3.959489090970620959e-06
1.499999999999999944e-02,2.000000000000000111e-01,0.000000000000000000e+00,-8.879062408445708148e-06
2.000000000000000042e-02,2.000000000000000111e-01,0.000000000000000000e+00,-1.575057582286861808e-05
2.500000000000000139e-02,2.000000000000000111e-01,0.000000000000000000e+00,-2.458549947807401240e-05
2.999999999999999889e-02,2.000000000000000111e-01,0.000000000000000000e+00,-3.540961116568130875e-05
3.500000000000000333e-02,2.000000000000000111e-01,0.000000000000000000e+00,-4.826362078945999371e-05
4.000000000000000083e-02,2.000000000000000111e-01,0.000000000000000000e+00,-6.320410083939438401e-05
4.499999999999999833e-02,2.000000000000000111e-01,0.000000000000000000e+00,-8.030476443305705175e-05
5.000000000000000278e-02,2.000000000000000111e-01,0.000000000000000000e+00,-9.965814876699029051e-05
5.500000000000000028e-02,2.000000000000000111e-01,0.000000000000000000e+00,-1.213777825479612593e-04
5.999999999999999778e-02,2.000000000000000111e-01,0.000000000000000000e+00,-1.456009430339069743e-04
6.500000000000000222e-02,2.000000000000000111e-01,0.000000000000000000e+00,-1.724921443982378884e-04
7.000000000000000666e-02,2.000000000000000111e-01,0.000000000000000000e+00,-2.022475481508715256e-04
7.499999999999999722e-02,2.000000000000000111e-01,0.000000000000000000e+00,-2.351005540997964504e-04
8.000000000000000167e-02,2.000000000000000111e-01,0.000000000000000000e+00,-2.713289255639629713e-04
8.500000000000000611e-02,2.000000000000000111e-01,0.000000000000000000e+00,-3.112639387052008010e-04
8.999999999999999667e-02,2.000000000000000111e-01,0.000000000000000000e+00,-3.553022440494480166e-04
9.500000000000000111e-02,2.000000000000000111e-01,0.000000000000000000e+00,-4.039214223840679454e-04
1.000000000000000056e-01,2.000000000000000111e-01,0.000000000000000000e+00,-4.577006628693162525e-04
1.049999999999999961e-01,2.000000000000000111e-01,0.000000000000000000e+00,-5.173486821337769208e-04
