2dt/U,Mu/U
0,0.4142135624
0.01,0.4142135624
0.02,0.4142135624
0.03,0.4142135624
0.04,0.4142135624
0.05,0.4142135624
0.06,0.4142135624
0.07,0.4142135624
0.08,0.4142135624
0.09,0.4142135624
0.1,0.4142135624
0.11,0.4142135624
0.12,0.4142135624
0.13,0.4142135624
0.14,0.4142135624
0.15,0.4142135624
0.16,0.4142135624
0.17,0.4142135624
0.1716,0.4154871523
0.1816,0.4177425041
0.1916,0.4131345035
0.2016,0.4089267925
0.2116,0.4045959864
0.2216,0.4001953953
0.2316,0.3956493181
0.2416,0.3910095213
0.2516,0.3862383314
0.2616,0.3813574677
0.2716,0.3764126922
0.2816,0.3713211047
0.2916,0.3661889933
0.3016,0.3609245264
0.3116,0.3555651783
0.3216,0.3501497604
0.3316,0.3446462298
0.3416,0.3390526237
0.3516,0.3333939881
0.3616,0.3276489793
0.3716,0.3218509486
0.3816,0.3159439291
0.3916,0.3100064485
0.4016,0.3039651855
0.4116,0.2978764794
0.4216,0.2917453456
0.4316,0.2854966984
0.4416,0.2792259437
0.4516,0.2728897274
0.4616,0.266463662
0.4716,0.260008169
0.4816,0.2535093661
0.4916,0.2469355566
