N,t,Ep,Ep_err
9,0.01,0.19993074102058336,0.0
9,0.011,0.19991573069562496,0.0
9,0.012,0.19989911744736244,0.0
9,0.013,0.19988085450535287,0.0
9,0.014,0.1998608900104358,0.0
9,0.015,0.19983916664628706,0.0
9,0.016,0.19981562125851482,0.0
9,0.017,0.19979018446311195,0.0
9,0.018,0.19976278024682775,0.0
9,0.019,0.19973332556288215,0.0
9,0.02,0.19970172992641147,0.0
9,0.021,0.1996678950153219,0.0
9,0.022,0.19963171428357535,0.0
9,0.023,0.19959307259578643,0.0
9,0.024,0.19955184589368669,0.0
9,0.025,0.19950790090752793,0.0
9,0.026,0.19946109492778313,0.0
9,0.027,0.19941127565543948,0.0
9,0.028,0.19935828115218418,0.0
9,0.029,0.19930193991505785,0.0
9,0.03,0.19924207110363307,0.0
9,0.031,0.19917848495119111,0.0
9,0.032,0.19911098339469874,0.0
9,0.033,0.19903936096145394,0.0
9,0.034,0.19896340595252826,0.0
9,0.035,0.19888290196452724,0.0
9,0.036,0.19879762979123095,0.0
9,0.037,0.19870736974445352,0.0
9,0.038,0.1986119044292266,0.0
9,0.039,0.1985110220005632,0.0
9,0.04,0.19840451991795546,0.0
9,0.041,0.19829220919809,0.0
9,0.042,0.1981739191462535,0.0
9,0.043,0.1980495025221181,0.0
9,0.044,0.1979188410662885,0.0
9,0.045,0.1977818512811716,0.0
9,0.046,0.19763849032440153,0.0
9,0.047,0.19748876183737446,0.0
9,0.048,0.1973327214981612,0.0
9,0.049,0.19717048206005747,0.0
9,0.05,0.19700221761833497,0.0
9,0.051,0.1968281668416125,0.0
9,0.052,0.1966486349140966,0.0
9,0.053,0.19646399396318878,0.0
9,0.054,0.19627468179440563,0.0
9,0.055,0.19608119882141864,0.0
9,0.056,0.1958841031604361,0.0
9,0.057,0.19568400394992966,0.0
9,0.058,0.19548155305234163,0.0
9,0.059,0.19527743538585385,0.0
9,0.06,0.19507235821366192,0.0
9,0.061,0.1948670397782143,0.0
9,0.062,0.1946621977030023,0.0
9,0.063,0.1944585375916849,0.0
9,0.064,0.194256742233618,0.0
9,0.065,0.19405746177850502,0.0
9,0.066,0.193861305176392,0.0
9,0.067,0.19366883309872784,0.0
9,0.068,0.19348055246980922,0.0
9,0.069,0.19329691265200566,0.0
9,0.07,0.1931183032496453,0.0
9,0.071,0.19294505342978258,0.0
9,0.072,0.19277743260639274,0.0
9,0.073,0.19261565229864003,0.0
9,0.074,0.1924598689541503,0.0
9,0.075,0.1923101875223619,0.0
9,0.076,0.19216666556913137,0.0
9,0.077,0.1920293177389188,0.0
9,0.078,0.1918981203923386,0.0
9,0.079,0.1917730162718561,0.0
9,0.08,0.1916539190749475,0.0
9,0.081,0.19154071784009946,0.0
9,0.082,0.19143328107554808,0.0
9,0.083,0.19133146058241873,0.0
