t,u_ib,E_p,E_p_err,factor,factor_err,exponent,r2
0.01,-1.5,-2.005050723632254,0.00021075191340272335,0.009863306982988772,0.0011231627207575223,-0.5,0.9725468867047801
0.01,-1.0,-1.0173955050132268,0.0003822670703627069,-0.006772537074724036,0.0021191612492318487,-0.5,0.9783770935646962
0.01,-0.5,-0.5005020413820926,8.006886685879963e-6,-2.075015084307094e-6,4.2155183252290274e-5,-0.5,0.9841824683921645
0.01,0.0,0.0,0.0,0.0,0.0,-0.5,0.9866582451939162
0.01,0.5,0.4994997846414343,7.484417168291046e-6,-3.598868345939756e-5,3.859800827031259e-5,-0.5,0.9842852383363907
0.01,1.0,0.9586924859301981,0.00011137615745792609,-0.0010819284499385506,0.0005669970204199688,-0.5,0.9954301314006688
0.01,1.5,0.9567070954561757,0.00038266876569295914,0.023967425266589324,0.0020206205197176377,-0.5,0.9793227492085944
0.015,-1.5,-2.0108809901884954,0.0002750449921383956,0.013550342120062106,0.0014629134587992735,-0.5,0.9739951034705765
0.015,-1.0,-1.0266931223532272,0.0007274515072849089,-0.014812395417858736,0.00401455282760495,-0.5,0.9781377566548899
0.015,-0.5,-0.5011331466394003,1.150543571563626e-5,0.00013419258976339875,5.88753008102938e-5,-0.5,0.9913394267477909
0.015,0.0,0.0,0.0,0.0,0.0,-0.5,0.9874132791994101
0.015,0.5,0.4988756137396564,2.6168948745684585e-5,2.3735761868022472e-5,0.0001324262973703942,-0.5,0.9902628366265311
0.015,1.0,0.9363945038702305,4.4022300085800494e-5,8.225954285645303e-6,0.00023707479795738998,-0.5,0.9841016644103768
0.015,1.5,0.9340805627948908,0.0005513163176704563,0.036592426866153584,0.002901915877452341,-0.5,0.9812696835621296
0.02,-1.5,-2.018810693940047,0.00020170965636953924,0.013548494858614705,0.0010936622641173985,-0.5,0.9801414033385308
0.02,-1.0,-1.0362199353983945,0.0009548699926138599,-0.029092942175305427,0.005056439445141419,-0.5,0.9816406252257939
0.02,-0.5,-0.5019494240332274,1.6045712226473504e-5,-2.575209007844516e-5,8.146571788862839e-5,-0.5,0.9897879079783697
0.02,0.0,0.0,0.0,0.0,0.0,-0.5,0.989056888216737
0.02,0.5,0.49803255584265377,5.662857848701037e-6,-0.00012158851453759447,2.8897505343734294e-5,-0.5,0.9898232305195743
0.02,1.0,0.913280044762147,5.555242071658097e-5,-0.00017032744297553474,0.0002950798295059344,-0.5,0.9819929169678105
0.02,1.5,0.9107186916248076,0.0007002244525732899,0.049285833418555025,0.0036779178621425654,-0.5,0.982551030262293
0.025,-1.5,-2.0293605831181916,0.00022286302117335938,0.011046966075407977,0.0011814499972617265,-0.5,0.9806407533080638
0.025,-1.0,-1.0468340235202303,0.00130807500520273,-0.04717731172103488,0.006814554868284563,-0.5,0.977462934748275
0.025,-0.5,-0.5029287346363713,7.735832504027116e-5,-0.0006762732833004544,0.00040025101714258484,-0.5,0.9897169872840604
0.025,0.0,0.0,0.0,0.0,0.0,-0.5,0.9885384317607598
0.025,0.5,0.49701787203855324,6.0222567221871984e-5,-0.0008344830565484797,0.0003133400353550472,-0.5,0.9889559307627859
0.025,1.0,0.8886879359927147,6.79996310897755e-5,0.001051713343412445,0.000348333079736721,-0.5,0.9818006208357514
0.025,1.5,0.8861927409299135,0.0009519925157594241,0.0635661208311119,0.004984603868481414,-0.5,0.9824459683591956
0.03,-1.5,-2.0430224590623673,7.550187175579104e-5,0.00537671139437765,0.00041762232141121,-0.5,0.9803960908058753
0.03,-1.0,-1.0582427595879502,0.001353919344906526,-0.07315081628176803,0.007256455591520165,-0.5,0.9823061558021745
0.03,-0.5,-0.5041947930084755,5.7621164729662104e-5,-0.0014171332428355031,0.00029759227003108604,-0.5,0.9882793003073435
0.03,0.0,0.0,0.0,0.0,0.0,-0.5,0.988481913920078
0.03,0.5,0.49570613907198346,6.279123347181529e-5,-0.0018813171470516618,0.00032392853944615264,-0.5,0.9890147611155868
0.03,1.0,0.8625134012004564,0.00015358043690599432,0.0029868669396153685,0.0008017443862462283,-0.5,0.9830992104190626
0.03,1.5,0.8604789058505025,0.0011382811840876844,0.07864605773432945,0.005960976312176626,-0.5,0.9836072871620145
0.035,-1.5,-2.0605610805068117,0.00024783379105791604,-0.0021232336392368414,0.0012963387208482537,-0.5,0.9763068608111153
0.035,-1.0,-1.071882853495497,0.0013139528489159457,-0.10400447658791709,0.006834184241059813,-0.5,0.9829942525450432
0.035,-0.5,-0.5056389933332792,0.00011970177659470122,-0.0032586035816315113,0.0006186514540931996,-0.5,0.9878216468156988
0.035,0.0,0.0,0.0,0.0,0.0,-0.5,0.9876705477625861
0.035,0.5,0.49421843873946136,0.00012826795260602553,-0.004437809697148601,0.0006648512734065752,-0.5,0.9876824567200503
0.035,1.0,0.8340913634829621,0.00023655923675964095,0.00806428036885336,0.0012395302356196086,-0.5,0.9838899661168321
0.035,1.5,0.8327420217817956,0.0015123043108077896,0.09842792880070926,0.007893953041850914,-0.5,0.9835905613232747
0.04,-1.5,-2.083479216394353,0.0006025158274252055,-0.008000145117019155,0.0032449725083006946,-0.5,0.9806791200337552
0.04,-1.0,-1.0895574269571138,0.0009810211198714369,-0.13374532340625098,0.005206952918962004,-0.5,0.9820619076252695
0.04,-0.5,-0.5071862164659413,0.0002342575988586193,-0.007511600666165007,0.0012162441580777852,-0.5,0.9877005731921761
0.04,0.0,0.0,0.0,0.0,0.0,-0.5,0.9882869557448845
0.04,0.5,0.4927352169288472,0.00032757426446597914,-0.010810548793283518,0.0016983766068131706,-0.5,0.9872971965099565
0.04,1.0,0.8022988912921551,0.0007221437432685109,0.020736555670713783,0.0037486317834534853,-0.5,0.9836236766708909
0.04,1.5,0.8017973574594149,0.002129779735210622,0.12817282823598192,0.01113559597529573,-0.5,0.9841062029116249
0.045,-1.5,-2.114512432060115,0.0016625698888594297,-0.0018192036543687707,0.008962154576080895,-0.5,0.9798779260528763
0.045,-1.0,-1.1154379306946554,0.00026632693056455336,-0.14527864270506868,0.0013837877123772577,-0.5,0.9834410027540544
0.045,-0.5,-0.508799940903774,0.0004024264445344667,-0.016000846236084908,0.0020890524342060193,-0.5,0.9871489079945296
0.045,0.0,0.0,0.0,0.0,0.0,-0.5,0.9883800070897375
0.045,0.5,0.4911583357726482,0.0005265454834090983,-0.02273967188567537,0.002719819099283065,-0.5,0.9874231397208685
0.045,1.0,0.7645791829785881,0.0016082348299508692,0.05425248413131197,0.008369020356550188,-0.5,0.9861085124057843
0.045,1.5,0.7662565000726773,0.002969922880508413,0.17601021538407122,0.015534267549277064,-0.5,0.9848964659754461
0.05,-1.5,-2.1612325387061886,0.0033558343901018903,0.05763485124730755,0.01747687658034578,-0.5,0.9821573332305067
0.05,-1.0,-1.1551084829553062,0.0019103850313643886,-0.1098402452530366,0.00998165458250696,-0.5,0.9848413585671982
0.05,-0.5,-0.5105590478072031,0.00045122515740881285,-0.031582703319482694,0.0023261116702102324,-0.5,0.9885094357882701
0.05,0.0,0.0,0.0,0.0,0.0,-0.5,0.9889298443828238
0.05,0.5,0.48914783182353255,0.0004883388647774586,-0.042969033863523645,0.0025281168564328543,-0.5,0.9874353810014085
0.05,1.0,0.7188149232019857,0.0024334868293590345,0.12231594270604829,0.012604690115176674,-0.5,0.9867315277655219
0.05,1.5,0.7228130739116233,0.004072089637243039,0.2637403106366455,0.021206343103398848,-0.5,0.984794342720999
0.055,-1.5,-2.2317659578487827,0.004654255306471141,0.22102396727270124,0.024668961691066773,-0.5,0.9837955371031827
0.055,-1.0,-1.2157211789833666,0.0025786279253415057,0.017340982044367705,0.013395250107356324,-0.5,0.9871452089846932
